@{InputObject=@{Name=Avere Cluster Create}; SideIndicator=<=}
@{InputObject=@{Name=Azure Service Deploy Release Management Contributor}; SideIndicator=<=}
@{InputObject=@{Name=CAL-Custom-Role}; SideIndicator=<=}
@{InputObject=@{Name=Dsms Role (deprecated)}; SideIndicator=<=}
@{InputObject=@{Name=Dsms Role (do not use)}; SideIndicator=<=}
@{InputObject=@{Name=ExpressRoute Administrator}; SideIndicator=<=}
@{InputObject=@{Name=GenevaWarmPathResourceContributor}; SideIndicator=<=}
@{InputObject=@{Name=masterreader}; SideIndicator=<=}
@{InputObject=@{Name=Microsoft OneAsset Reader}; SideIndicator=<=}
@{InputObject=@{Name=Office DevOps}; SideIndicator=<=}
@{InputObject=@{Name=GenevaWarmPathStorageBlobContributor}; SideIndicator=<=}
@{InputObject=@{Name=AcrPush}; SideIndicator=<=}
@{InputObject=@{Name=API Management Service Contributor}; SideIndicator=<=}
@{InputObject=@{Name=AcrPull}; SideIndicator=<=}
@{InputObject=@{Name=AcrImageSigner}; SideIndicator=<=}
@{InputObject=@{Name=AcrDelete}; SideIndicator=<=}
@{InputObject=@{Name=AcrQuarantineReader}; SideIndicator=<=}
@{InputObject=@{Name=AcrQuarantineWriter}; SideIndicator=<=}
@{InputObject=@{Name=API Management Service Operator Role}; SideIndicator=<=}
@{InputObject=@{Name=API Management Service Reader Role}; SideIndicator=<=}
@{InputObject=@{Name=Application Insights Component Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Application Insights Snapshot Debugger}; SideIndicator=<=}
@{InputObject=@{Name=Attestation Reader}; SideIndicator=<=}
@{InputObject=@{Name=Automation Job Operator}; SideIndicator=<=}
@{InputObject=@{Name=Automation Runbook Operator}; SideIndicator=<=}
@{InputObject=@{Name=Automation Operator}; SideIndicator=<=}
@{InputObject=@{Name=Azure Kubernetes Service Cluster Admin Role}; SideIndicator=<=}
@{InputObject=@{Name=Azure Kubernetes Service Cluster User Role}; SideIndicator=<=}
@{InputObject=@{Name=Azure Stack Registration Owner}; SideIndicator=<=}
@{InputObject=@{Name=Backup Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Billing Reader}; SideIndicator=<=}
@{InputObject=@{Name=Backup Operator}; SideIndicator=<=}
@{InputObject=@{Name=Backup Reader}; SideIndicator=<=}
@{InputObject=@{Name=BizTalk Contributor}; SideIndicator=<=}
@{InputObject=@{Name=CDN Endpoint Contributor}; SideIndicator=<=}
@{InputObject=@{Name=CDN Endpoint Reader}; SideIndicator=<=}
@{InputObject=@{Name=CDN Profile Contributor}; SideIndicator=<=}
@{InputObject=@{Name=CDN Profile Reader}; SideIndicator=<=}
@{InputObject=@{Name=Classic Network Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Classic Storage Account Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Classic Storage Account Key Operator Service Role}; SideIndicator=<=}
@{InputObject=@{Name=ClearDB MySQL DB Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Classic Virtual Machine Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Cognitive Services Contributor}; SideIndicator=<=}
@{InputObject=@{Name=CosmosBackupOperator}; SideIndicator=<=}
@{InputObject=@{Name=Contributor}; SideIndicator=<=}
@{InputObject=@{Name=Cosmos DB Account Reader Role}; SideIndicator=<=}
@{InputObject=@{Name=Cost Management Contributor}; SideIndicator=<=}
